"Country","City","AQI.Value","CO.AQI.Value","Ozone.AQI.Value","NO2.AQI.Value","PM2.5.AQI.Value","Latitude","Longitude"
"South Africa","Ellisras",92,2,21,14,92,-23.683333,27.733333
"Germany","Erfurt",71,1,31,3,71,50.9777974,11.0287364
"Portugal","Faro",35,1,35,2,25,37.0162727,-7.9351771
"Central African Republic","Damara",54,2,11,0,54,4.9561279,18.6977075
"China","Danjiangkou",154,2,154,1,60,32.5429981,111.5070101
"Afghanistan","Dawlatabad",92,1,43,0,92,36.4204275,64.8975266
"Belgium","Dendermonde",42,1,28,4,42,51.0312293,4.098112
"India","Deolali",138,0,25,0,138,19.9380426,73.8567115
"Indonesia","Depok",60,1,33,0,60,-6.40719,106.8158371
"United States of America","Des Plaines",54,2,30,11,54,42.0415823,-87.8873916
"Germany","Diedorf",51,1,30,5,51,48.3542454,10.7839603
"United States of America","Phoenixville",68,1,31,7,68,40.1303822,-75.5149128
"Italy","Piano Di Sorrento",58,1,52,2,58,40.632955,14.4113109
"Mexico","Queretaro",139,2,10,8,139,20.5922997,-100.3917424
"Philippines","Quisao",54,1,23,1,54,14.4357299,121.3353245
"India","Rajampet",92,0,26,0,92,14.1935867,79.1585757
"Indonesia","Rantepao",14,0,14,0,14,-2.9704575,119.8987167
"India","Renigunta",77,0,27,0,77,13.6384508,79.5105191
"United States of America","Renton",33,1,31,5,33,47.4799078,-122.2034496
"Russian Federation","Rezh",31,1,31,0,22,57.370647,61.4042865
"Germany","Roding",53,1,47,1,53,49.1964174,12.5166987
"Russian Federation","Pokhvistnevo",50,1,31,0,50,53.646797,52.123344
"Russian Federation","Pokrov",57,1,24,10,57,55.919601,39.1772776
"Brazil","Ponte Nova",44,1,12,2,44,-20.4164353,-42.90878
"Germany","Preetz",34,0,34,0,15,54.3506105,12.9907315
"Bulgaria","Provadija",42,1,40,1,42,43.1786369,27.4438702
"Poland","Puck",87,1,24,3,87,54.7203995,18.411338
"United Kingdom of Great Britain and Northern Ireland","Pudsey",61,1,11,10,61,53.796585,-1.6629008
"Azerbaijan","Qovlar",34,1,34,0,15,40.9465714,45.7353477
"Lesotho","Quthing",77,1,9,2,77,-30.4004328,27.7025571
"Mexico","Rafael Lara Grajales",90,1,15,5,90,19.225556,-97.798333
"India","Sadalgi",75,0,22,0,75,NA,NA
"United States of America","Saddle Brook",115,3,8,31,115,40.898988,-74.0926418
"Pakistan","Sadiqabad",203,1,89,1,203,28.3086664,70.1283004
"Italy","Salerno",51,1,51,1,46,40.6803601,14.7594542
"Lithuania","Alytus",29,1,29,1,22,54.3961344,24.0459268
"India","Anand",163,1,34,0,163,22.5586555,72.9627227
"China","Anjiang",147,3,147,1,93,27.3204988,110.1386651
"India","Anklesvar",156,1,26,0,156,NA,NA
"Poland","Gorlice",80,1,31,2,80,49.65829,21.1593832
"Poland","Grajewo",42,1,25,1,42,53.6469842,22.4548627
"Cuba","Guaimaro",50,1,20,2,50,21.0541962,-77.3490878
"France","Haguenau",45,1,33,3,45,48.8172236,7.7885978
"United States of America","Hanover",58,2,21,14,58,43.7023545,-72.2892164
"Germany","Haren",33,0,33,1,14,52.7905619,7.2400267
"Netherlands","Harlingen",35,0,35,0,14,53.1752103,5.4141998
"Pakistan","Hasilpur",198,1,87,0,198,29.6889811,72.5525446
"India","Hathras",192,2,135,1,192,27.5975888,78.0545477
"France","Hautmont",58,1,26,5,58,50.2513704,3.9200611
"New Zealand","Hawera",26,0,26,0,15,-39.5893462,174.2837207
"Jordan","Hawwarah",113,1,46,4,113,31.7,35.85
"United States of America","Hazleton",60,2,28,6,60,40.9548956,-75.9769572
"South Africa","Hendrina",56,1,22,4,56,-26.158333,29.716111
"Germany","Henstedt Ulzburg",33,0,33,1,14,53.7926888,9.9808134
"Myanmar","Henzada",50,0,23,0,50,17.6457472,95.4609517
"France","Fort De France",136,1,26,0,136,14.6027962,-61.0676724
"United States of America","Fortuna",37,1,27,4,37,40.597407,-124.156034
"Cameroon","Fundong",97,3,12,1,97,6.280281,10.284089
"Japan","Funehiki",40,1,40,1,26,37.4349703,140.5795292
"Turkmenistan","Gazanjyk",127,1,42,0,127,39.2448122,55.5213285
"Germany","Gemunden",66,1,37,3,66,50.5599325,8.0176918
"Mexico","Huixquilucan",167,5,5,19,167,19.3598819,-99.3514655
"Greece","Ialisos",66,1,47,0,66,NA,NA
"Brazil","Ibipeba",14,0,14,0,12,-11.6425335,-42.0083068
"Japan","Hikari",41,1,41,1,37,33.9615807,131.9425203
"Honduras","Cofradia",74,1,8,3,74,14.2263414,-87.1728443
"Portugal","Coimbra",27,1,27,3,23,40.2111931,-8.4294632
"United States of America","Commack",98,5,8,39,98,40.8428759,-73.2928943
"Mexico","Cosamaloapan",88,2,21,4,88,18.364414,-95.7965793
"Brazil","Cotia",169,6,1,20,169,-23.603889,-46.918889
"Brazil","Coxim",53,1,6,1,53,-18.504915,-54.7450251
"United States of America","Cullman",75,2,34,6,75,34.1748408,-86.8435802
"Italy","Cuorgne",135,3,21,5,135,45.3897204,7.6498168
"Côte d'Ivoire","Dabakala",35,1,18,0,35,8.363238,-4.428486
"India","Chatrapur",139,2,48,1,139,19.3592455,84.9991658
"India","Chhoti Sadri",192,1,35,0,192,24.3829511,74.7013558
